id,name
94037,Mariehamn
34104,Tirana
25893,Andorra la Vella
95852,Vienna
76999,Minsk
39672,Brussels
35747,Sarajevo
96596,Sofia
82283,Zagreb
89207,Prague
25635,Copenhagen
92940,Tallinn
83302,Tórshavn
85612,Helsinki
48539,Paris
45855,Berlin
65288,Gibraltar
94316,Athens
41541,Saint Peter Port
28980,Budapest
97770,Reykjavík
19126,Dublin
90804,Douglas
17763,Rome
32548,Saint Helier
82291,Pristina
75260,Riga
69603,Vaduz
64254,Vilnius
37699,Luxembourg
65283,Valletta
74044,Chisinau
65048,Podgorica
21051,Amsterdam
46344,Skopje
68679,Oslo
75422,Warsaw
61817,Lisbon
77668,Monaco
61152,Bucharest
26022,Moscow
45068,San Marino
54140,Belgrade
17484,Bratislava
37905,Ljubljana
73388,Madrid
74955,Longyearbyen
20187,Stockholm
51231,Bern
45992,Kiev
59423,London
59326,Città del Vaticano
73871,The Valley
34580,Saint John’s
74051,Buenos Aires
74129,Oranjestad
28371,Nassau
85070,Bridgetown
14053,Belmopan
77557,Hamilton
22888,Sucre
67218,Brasília
17048,Road Town
54417,Ottawa
23575,George Town
15645,Santiago
67180,Bogotá
30499,San José
89596,Havana
16426,Willemstad
45372,Roseau
28323,Santo Domingo
94608,Quito
48387,San Salvador
84797,Stanley
13950,Cayenne
67014,Nuuk
75925,Saint George's
95990,Basse-Terre
15416,Guatemala City
33178,Georgetown
52033,Port-au-Prince
33165,Tegucigalpa
99699,Kingston
22740,Fort-de-France
14412,Mexico City
46752,Brades
37615,Managua
55958,Panama City
30170,Asunción
93540,Lima
37334,San Juan
82113,Gustavia
44937,Basseterre
31155,Castries
80906,Marigot
48555,Saint-Pierre
46472,Kingstown
76532,Philipsburg
95543,King Edward Point
83061,Paramaribo
86406,Port-of-Spain
11785,Cockburn Town
77083,"Washington, D.C."
44186,Montevideo
81049,Caracas
73831,Charlotte Amalie
90109,Kabul
62018,Yerevan
31264,Baku
48312,Manama
22260,Dhaka
85016,Thimphu
98221,Bandar Seri Begawan
36210,Nay Pyi Taw
18117,Phnom Penh
40192,Beijing
99772,Nicosia
95060,Dili
38207,Tbilisi
14571,Hong Kong
11962,New Delhi
50035,Jakarta
79047,Tehran
89947,Baghdad
31856,Jerusalem
69403,Tokyo
13055,Amman
18979,Nursultan
21361,Kuwait City
76672,Bishkek
17203,Vientiane
68437,Beirut
64656,Concelho de Macau
70516,Kuala Lumpur
95000,Malé
28751,Ulaanbaatar
61781,Kathmandu
30848,Pyongyang
55420,Muscat
85372,Islamabad
79090,Ramallah
82616,Manila
34548,Doha
99319,Riyadh
27835,Singapore
86490,Seoul
72687,Colombo
47251,Damascus
56963,Taipei
98447,Dushanbe
10319,Bangkok
95942,Ankara
91352,Ashgabat
85528,Abu Dhabi
87638,Tashkent
80853,Hanoi
88312,Sanaa
67778,Canberra
58165,Flying Fish Cove
60217,West Island
92608,Wellington
85390,Kingston
28216,Algiers
73021,Luanda
31446,Porto-Novo
64787,Gaborone
34599,Ouagadougou
54743,Bujumbura
41741,Yaoundé
67478,Praia
94229,Bangui
58377,N'Djamena
86294,Moroni
94110,Kinshasa
34502,Djibouti
23466,Cairo
50817,Malabo
62815,Asmara
62302,Mbabane
64713,Addis Ababa
46097,Libreville
83158,Banjul
30332,Accra
90005,Conakry
88057,Bissau
84508,Yamoussoukro
78383,Nairobi
85154,Maseru
37242,Monrovia
12031,Tripoli
64448,Antananarivo
34179,Lilongwe
38369,Bamako
86416,Nouakchott
53214,Port Louis
71226,Mamoudzou
23533,Rabat
23935,Maputo
77767,Windhoek
77757,Niamey
47551,Abuja
92426,Brazzaville
59604,Saint-Denis
60433,Kigali
37410,Jamestown
88104,São Tomé
38846,Dakar
33647,Victoria
65057,Freetown
22584,Mogadishu
89277,Pretoria
45581,Juba
29720,Khartoum
10759,Dodoma
46342,Lomé
79748,Tunis
28665,Kampala
18798,El Aaiún
64864,Lusaka
47575,Harare
36590,Pago Pago
93258,Avarua
95613,Suva
87604,Papeete
12966,Hagåtña
19378,Tarawa
93511,Majuro
71355,Yaren
92906,Nouméa
97490,Alofi
30393,Saipan
40439,Port Moresby
40912,Adamstown
96222,Apia
24894,Honiara
66091,Nuku‘alofa
15462,Funafuti
61338,Port-Vila
20968,Mata-Utu
